,Claim Description,Coverage Code,Accident Source
380,THE CUSTOMER STATED THAT WHILE HE WAS DRIVING IN THE PARKING LOT  HE DROVE INTO A POTHOLE WHICH CAUSED DAMAGE TO HIS RIM. THERE WERENO INJURIES REPORTED.,GD,Alleged Negligent Act
381,"THE PIPES IN THE INSURED'S CEILING FROZE AND BURST TO CAUSE A RISEOF 3 INCHES IN THE WATER. THE ROOMS, FLOORS, CARPETS, AND CEILING WERE DAMAGE.",TE,"Freezing of Plumbing, Heating, AC System"
382,VEHICLE 2 FAILED TO STOP AND STRUCK REAR OF CLIENT VEHICLE STOPPEDWITH TRAFFIC. THE FORCE OF THE IMPACT PUSHED CLIENT VEHICLE INTO  REAR OF VEHICLE 3.,AN,Our vehicle struck in rear
383,THE IV WAS STRUCK BY THE OV THAT SPUNOUT AFTER LOSING CONTROL AND HITTING A GUARD RAIL WHEN THE D/S FRONT TIRE BLEW. THE IV INCURREDMULTIPLE EXTERIOR DAMAGE EXTENDING FROM THE P/S FRONT END TO THE  P/S REAR END. NO INJURIES WERE REPORTED.,AP,Sideswipe or lane change
384,MEMBER STATES THAT CAR WOULDN'T START AFTER TIRE CENTER REPLACED  TIRES ON HIS CAR. MEMBER STATES THAT CAR WAS WORKING FINE BEFORE.,GD,Alleged Negligent Act
385,CUSTOMER HIT ANOTHER VEHICLE,AD,Struck vehicle in rear
386,"ABDOMINOPLASTY, FAT TRANSFER, LIPO- DX: MIGRAINE",PM,Not Otherwise Classified
387,EMPLOYEE WAS STOPPED AT LIGHT WHEN HIS FOOT SLIPPED OFF THE BRAKE ONTO THE GAS AND HE STRUCK THE REAR OF A POLICE VEHICLE.,AD,Struck vehicle in rear
388,DAMAGE TO RENTAL AUTO.  NO SCI AUTO INVOLVED.,AD,Non-contact accident
389,GUEST ALLEGES THAT SHE BECAME HOT AND DIZZY WHILE SHE WAS IN THE  RESTROOM. SHE FELT LIKE SHE MIGHT PASS OUT IN THE RESTROOM SO SHE ATTEMPTED TO LEAVE THE RESTROOM TO GET HELP FROM HER FRIENDS. SHE PASSED OUT WHILE WALKING TO THE BAR.,GB,"Human Action, NOC"
390,SP DRIVER WAS BACKING INTO CLAIMANTS DRIVEWAY AND HIT THE GARAGE  CAUSING DAMAGE TO THE GUTTER.,AD,Struck dock/garage door
391,"CLMT ALLEGES FINDING A PIECE OF PLASTIC IN HER MCFLURRY, WHICH WASORDERED IN THE DRIVE THRU. IT IS UNK IF ANY INJURIES WERE         SUSTAINED.THE PIECE OF PLASTIC WAS A PIECE THAT BROKE OFF THE     MCFLURRY MACHINE.",PA,Alleged foreign object in product
392,WORMS IN PORTION OF BROCCOLI,PA,Alleged foreign object in product
393,SMALL PD THE IV DRIVER WAS PULLING INTO A CUSTOMER'S DRIVEWAY WHENTHE IV MADE CONTACT WITH THREE MAILBOXES CAUSING DAMAGE. THERE    WERE NO INJURIES REPORTED.,AL,Struck mailbox
394,SMALL PD. THE IV DRIVER WAS SERVICING AT A COMMERCIAL SITE BY     TURNING INTO THE CAN WHEN THE FORKS ON THE IV STRUCK A WOODEN     LIGHT POST. THE WOODEN LIGHT POST IS SCRAPED. NO DAMAGE TO THE IV.NO INJURIES SUSTAINED.,AL,Struck animal or object
395,SLIP AND FALL IN THE PARKING LOT WHILE IT WAS RAINING.,GB,Ice/water
396,12/19/2022     AT 1:10 PM SECURITY SUPERVISOR KENNETH MOORE RECEIVED A CALL FROM A CRATE & BARREL EMPLOYEE WHO STATED AN ELDERLY COU,GB,Not Otherwise Classified
397,HIT OTHER VEHICLE IN REAR,AD,Struck vehicle in rear
398,A DRIVER IS REPORTING THAT WHILE UNLOADING AT A BUS STOP A STUDENTWAS STRUCK BY OV THAT PASSED ON THE RIGHT SIDE OF THE SCHOOL BUS. THE STUDENT WAS EVALUATED AT THE SCENE AND TRANSPORTED VIA EMS TO LOCAL HOSPITAL TO BE FURTHER EVALUATED BY A DOCTOR BUT NO SPECIFICUPDATE ON INJURIES AT THIS TIME. NO MEDIA INTEREST HAS BEEN       EXPRESSED AT THE TIME OF THIS ALERT. SCHOOL AND ALL PARENTS HAVE  BEEN CONTACTED.,GB,Alleged Negligent Act
399,THE OV DRIVER ALLEGES THAT THE IV STRUCK THE REAR BUMPER OF THE OVIN TRAFFIC. THE IV INCURRED NO DAMAGE. THE OV INCURRED DAMAGE TO  THE REAR BUMPER. THERE WERE NO INJURIES REPORTED.,AD,Alleged Negligent Act
400,V1 HIT V2 PARKED AND UNOCCUPIED,AD,Struck parked vehicle
401,"CLAIMANT ALLEGES AN EE WAS USING A DRY MOP TO SPOT MOP THE LOBBY. THE WET FLOOR SIGNS WERE OUT. THE CUSTOMER WALKED BY THE SIGN     TWICE AND ON THE SECOND PASS HE SLIPPED ON THE WET FLOOR AND FELL.THE CUSTOMER FELL ON HIS BOTTOM, HITTING HIS LOWER BACK AND PALMS OF BOTH HANDS. THIS RESULTED IN NO INJURY.",GB,Alleged Negligent Act
402,IV WAS IN STOPPED TRAFFIC WHEN HE RELEASED BRAKES AND ROLLED INTO CV DIRECTLY IN FRONT OF HIM.,AB,Struck vehicle in rear
403,"THE IV AND OV WAS PARKED (UNOCCUPIED) IN THE YARD, WHEN A TREE    FELL ON BOTH VEH CAUSING DAMAGE. NO INJURIES WERE REPORTED.",GK,Other - comprehensive
404,"WHILE OPERATING M77, EMPLOYEE WAS TRAVELING THROUGH THE           INTERSECTION, WITH A GREEN LIGHT AND THE FLOW OF                  TRAFFIC, AND WAS HIT BY A CAR THAT WENT THROUGH THE RED LIGHT.",AB,Vehicle - passenger
405,CUSTOMER ALLEGES PROPANE TANK VALVE BLEW OFF DUE TO OVERFILL OF 20LB PROPANE TANK AT STORE AND IT SPRAYED PROPANE ALL OVER INSIDE OFVEHICLE-SUBURBAN,GD,Alleged Negligent Act
406,CLAIMANT ALLEGES THAT WHILE THE EE WAS MAKING A DELIVERY TO THEIR LOCATION THE COOL LIFT STRUCK AGAINST A WATER FAUCET. THE WATER   FAUCET INCURRED DAMAGE. NO INJURIES WERE REPORTED IN THIS         INCIDENT.,GD,Alleged Negligent Act
407,CLAIMANT DROVE THEIR CAR INTO PARKING EQUIPMENT AT THE PASS HOLDER LANE.,RB,Vehicle Accident
408,OV IS CLAIMING DEBRIS FELL FROM THE IV DAMAGING THE OV'S          WINDSHIELD.,AD,Accidental disposal of property/object
409,HURRICANE IAN DAMAGE,RC,Hurricane
410,GUEST CAR WINDOW WAS BROKEN NO ITEMS STOLEN  GUEST CAR WAS BROKEN IN TO,GD,"Human Action, NOC"
411,THE IV HAS RODENT DAMAGE TO THE INTERIOR PART.,AP,Other - comprehensive
412,CLIENT VEHICLE BACKED INTO PARKED CLAIMANT VEHICLE.,AD,Our vehicle backed into
413,THE IV1 AND THE IV2 WERE PARKED AND UNOCCUPIED IN THE PARKING LOT WHEN THE INSURED VEHICLES WERE BROKEN INTO. THE IV1 INCURRED FRONTP/S AND D/S REAR WINDOW DAMAGE. THERE WERE ALSO BAGS AND VALUABLESSTOLEN FROM THE IV1. THE IV2 INCURRED D/S REAR WINDOW DAMAGE. THE IV2 ALSO HAD BAGS AND VALUABLES STOLEN FROM IT. NO INJURIES WERE  REPORTED.,RC,"Burglary, Robbery, Theft - Property"
414,IV WAS APPROACHING CONSTRUCTION ZONE WHEN OV CAME OVER IN IV LANE AND STRUCK HER. MULTIPLE DAMAGES TO IV,AP,Sideswipe or lane change
415,ASSOCIATE'S VAN WAS PARKED IN THE PARKING LOT AND WAS HIT BY THE  SNOWPLOW THAT WAS CLEARING THE LOT.,GD,Vehicle - truck/snowplow
416,IV STATED THE HE RAN OVER SOMETHING IN THE ROADWAY AND IT         PUNCTURED THE PASSENGER SIDE FUEL TANK.,AD,Other - comprehensive
417,UNDETERMINED INJURIES ACCIDENT OCCURRED YESTERDAY 03/ 16/ TIME    5:00 P.MTHE ACCIDENT HAPPED ON THE INTERSTATE I 10 SHE HIT A CAR  FROM BEHIND CAUSING THAT CAR TO HIT ANOTHER VEHICLE. THERE WERE   STUDENTS ON THE BUS I DO NOT HAVE THEIR NAMES AT THIS TIME. ONE   STUDENT WAS TRANSPORTED TO THE HOSPITAL.,AD,Struck vehicle in rear
418,IV HIT PARKED OV,AD,Struck parked vehicle
419,GUEST'S VEHICLE DAMAGED IN POSSESSION OF VALUE,GK,Alleged Negligent Act
420,OV WAS GOING S ON GREENBAY IV WAS GOING NORTH WHEN THE LIGHT WAS  CHANGING IV WAS GOING STRAIGHT IV MADE LEFT TURN AND CRASHED INTO OV,AB,Our vehicle turning left
421,"AS THE CUSTOMER WAS PASSING BY THE SELF CHECK OUT REGISTER, HIS   JEANS GOT CAUGHT AT THE CORNEROF THE SODA MACHINE AND THEY RIPPED.",GD,Display
422,SMALL PD IT'S ALLEGED BY CUST THAT IV DRIVER BACKED INTO THE      GARAGE DOOR. GARAGE DOOR HAS MULTIPLE DENTS. NO INJURIES.,AL,Backed into vehicle or object
423,"IV WAS ON 24TH STREET AND WAS MAKING A LEFT TURN ON MISSOURI      STREET. IV WAS IN THE OUTSIDE LANE AND OV WAS IN THE INSIDE LANE. IV AND OV MADE THE LEFT TURN ONTO MISSOURI STREET, WHEN OV STRUCK IV'S RIGHT SIDE.",AP,Sideswipe or lane change
424,THE DELIVERY DRIVER WAS WALKING TO THE BACK OF HIS TRAILER WHEN HESLIPPED AND FELL IN THE PARKING LOT. THE DRIVER WAS SEEN LIMPING.,GB,Alleged Negligent Act
425,"SMALL PD. THE IV WAS SERVICING A CUSTOMER, AND RETURNING A        COMPACTOR, WHEN THE REAR D/S COMPACTOR STRUCK THE CONCRETE SUPPORTBRIDGE. THIS RESULTED IN A DENT TO THE REAR D/S COMPACTOR, AND NO DAMAGE TO THE SUPPORT BRIDGE. THERE WERE NO REPORTED INJURIES.",AL,Backed into vehicle or object
426,ORLY WAS SLOWING DOWN AT THE RED LIGHT. TM SAYS THE BRAKES FAILED AND THE ORLY VEHICLE ENTERED THE INTERSECTION AND COLLIDED WITH   THE OV. SEE POLICE REPORT.,AD,Intersection accident
427,FIRST NOTICE FROM ATTORNEY LETTER.  WAREHOUSE DOES NOT APPEAR TO  RECALL THIS INCIDENT EITHER. ATTORNEY OFFICE DID NOT ANSWER CALL.,GB,Alleged improper maintenance - other
428,TSP REAR ENDED THE CLAIMANT'S VEHICLE AS THE CLAIMANT  TRIED TO COME AROUND THE TSP ON THE HIGHWAY. POLICE CALLED. CLAIMANT VEHICLE TOWED. NO INJURIES.,AD,Our vehicle struck in rear
429,CHALET VEHICLE REAR ENDED BY VAN AFTER VAN REAR ENDED BY TRUCK,AP,Our vehicle struck in rear
430,CHILD FELL AND SUFFERED LACERATION TO FOREHEAD; TAKEN FOR         EMERGENCY TREATMENT,PM,Alleged lack of supervision - schools
431,CLAIMANT ALLEGES HE WAS SERVED AN UNDERCOOKED QUARTER POUNDER.HE  WAS LATER TREATED FOR FOOD POISONING.,PA,Alleged contamination or spoilage
432,DOOR HANDLE BROKE OFF DRIVER SIDE DOOR. LAYING ON THE FRONT SEAT.,GD,Alleged Negligent Act
433,"AT 10/6/2022, AT APPROXIMATELY 7:00 AM, IT WAS DISCOVERED THAT    GROUT FROM KELLER'S TIEBACK INSTALLATION HAD SEEPED UP THROUGH THEGROUND ON THE NORTH SIDE EXTERIOR ROADWAY (SERVICE ROAD) CREATING PUDDLES OF GROUT ON THE ROADWAY. THE ROOT CAUSE IS UNDETERMINED;  HOWEVER, WE BELIEVE THAT THE GROUT MAY HAVE SEEPED UP THROUGH ONE OF GEOENGINEERS MONITORING WELLS. ONCE THE GROUT WAS DISCOVERED,  SERVICE ROAD WAS TEMPORARILY SHUT DOWN BY CONSIGLI FOR CLEANUP. ON10/7/2022 AT 3:00 PM, JESSIE CHOU (1ST",GD,Alleged Negligent Act
434,ATD DTRIVER STRUCK A VEHICLE IN THE CUSTOMER'S PARKING LOT.,AD,Sideswipe or lane change
435,"ON FRIDAY, MARCH 24, 2023, EE WAS DRIVING FORWARD IN COV 2893 FORDF150 PICKUP TRUCK SOUTHBOUND ALONG INTERSTATE 45 IN HOUSTON, TEXASWHEN AN OVERSIZED 18-WHEELER'S LOADED I-BEAM ENCROACHED INTO EE'S LANE AND STRUCK THE DRIVER-SIDE MIRROR OF COV. COV 2893 SUSTAINED DRIVER-SIDE MIRROR DAMAGE. THE UNIDENTIFIED 18-WHEELER SUSTAINED  NO DAMAGE AND LEFT THE SCENE. EE REPORTED NO INJURIES. HOUSTON    POLICE DEPARTMENT CONTACTED BY PHONE; REPORT # PENDING. DRIVECAM  DNA; EE COMPLETED A FOR",AD,Sideswipe or lane change
436,"CUSTOMER HAD A TOILET LOADED IN HER CAR BY 2 EMPLOYEES WHO RESTED IT ON THE BUMPER AND TWISTED IT TO LOAD IT IN, THE BOX SCRATCHED  THE BUMPER DURING LOADING",GD,Alleged Negligent Act
437,"THE IV WAS ON THE STREET ATTEMPTING TO MAKE A TURN WHEN THE IV    STRUCK THE PARKED OV. THE IV P/S TIRE IS PUNCTURED WHILE THE OV   INCURRED DAMAGE TO THE D/S TIRE, THE FRONT BUMPER IS PUSHED UP ANDTHE HEADLIGHT IS BROKEN. THERE WERE NO INJURIES REPORTED.",AD,Struck parked vehicle
438,"WHILE DUMPING A RECYCLE FRONT END BIN SET OUT FOR COLLECTION, THE TOP OF THE BIN HIT A BALCONY DOING DAMAGE. THE BINS WERE REPORTED SET OUT FOR COLLECTION AWAY FROM THE COLLECTION AREA.",AD,"Struck building, overhang"
439,MOTOR VEHICLE ACCIDENT -                                          UNINSURED MOTORIST CLAIM.,AU,Sideswipe or lane change
440,"THE CUSTOMER WAS FOUND SITTING ON THE FLOOR IN THE YARN AISLE. THECUSTOMER STATED SHE FELT DIZZY AND FAINT, AND THEREFORE SAT DOWN  ON THE GROUND. THERE WERE NO VISIBLE PHYSICAL INJURIES. THE       CUSTOMER WAS LATER TAKEN BY THE EMS TO BE MEDICALLY EVALUATED.",GB,Non Liability Cases - Premises Medical
441,"GUEST FRONT AND REAR PASSENGER WINDOWS SMASHED, AND ITEMS STOLEN.",GD,"Burglary, robbery, theft"
442,IV REAR ENDED OV,AB,Struck vehicle in rear
443,"INSURED WAS BACKING IN TO A PARKING SPACE AT A TRUCK STOP.  V2,   PICKUP PULLING A CAMPER, PULLED UP BEHIND INSURED, INSURED BACKED IN THE D/S OF THE CAMPER.",AD,Backed into vehicle or object
444,"I WAS GOING ACROSS AN ICY BRIDGE AND COULDN'T STOP, I HIT THE     TRUCK IN FRONT OF ME. HE DIDN'T EVEN KNOW I HIT HIM, IT WAS A     LARGE TRUCK, AND I GOT OUT AND INFORMED HIM THAT I HIT HIM AND WE EXCHANGED INFORMATION",AD,Struck vehicle in rear
445,MARYLAND LOSS;  IV WAS STRUCK IN REAR,AB,Our vehicle struck in rear
446,GUEST STEPPED FROM CARPET TO CONCRETE AND RIGHT FOOT SLIPPED FROM UNDERNEATH HER TOWARDS THE FRONT OF HER AND SHE FELL ON HER KNEE  THEN SAT ON HER BUT.,GB,Non Liability Cases - Premises Medical
447,A CUSTOMER REPORTED THEY HEARD A LOUD BANG WHICH THEY BELIEVED TO BE A ROCK COMING FROM A MOWER. THE CUSTOMER REPORTED A DENT TO HISCAMPER.,GD,Alleged Negligent Act
448,ROCK FROM VEHICLE - NO LICENSE NO,AP,Windshield
449,IV#1 WAS EXITING THE LOT AND STRUCK #2. THE SITE LATER RECEIVED A CALL THAT VEHICLE #3 WAS ALSO STRUCK BY IV#1.,AD,Intersection accident
450,"DAMAGED THE PASSENGER SIDE REAR BUMPER AND QUARTER PANEL WITH THE DRIVER SIDE FRONT DRIVE TIRE, WHEN EXITING A PARKING LOT WHILE    WATCHING THE CAR IN THE BLIND SPOT ON THE PASSENGER SIDE. NO ONE  WAS IN THE CAR AND NO WITNESSES. TRIED TO FIND THE OWNER THROUGH  THE HOTEL FRONT DESK AND RESTAURANT. LEFT CONTACT INFORMATION WITHTHEM AND ON THE WINDSHIELD OF THE CAR. LICENSE PLATE # GJE022.",AD,Struck parked vehicle
451,ROCK FROM VEHICLE - NO LICENSE NO D,AP,Windshield
452,HURRICANE NICOLE STRUCK THE INSURED'S PROPERTY CAUSING GUTTER     DAMAGE ON THE SOUTH SIDE OF THE BUILDING AND LIFTING TREES FROM   THE GROUND.,RB,Windstorm
453,OCCUPIED SP VEHICLE BACKED INTO ANOTHER OCCUPIED VEHICLE BEHIND   IT. NO INJURIES. NO TOW.,AD,Backed into vehicle or object
454,MS. CONVINGTON BENT OVER TO RETRIEVE AN ITEM OUT OF HER LUGGAGE AND WHILE BENT  OVER SHE LOST HER BALANCE AND FELL TO THE FLOOR.,GB,Uneven Surface
455,FIRST NOTICE SUIT.  ALLEGED S/F AT STORE.,GB,Alleged Negligent Act
456,"FEBRUARY 3, 2023, ABOUT 730 PM, WE PARKED IN THE PARKING AREA BETWEEN BUILDING 4 AND 1 IN THE THIRD SPACE FROM THE GATE CLOSEST TO BUILDING 4. BRENDA CEASER GO OUT OF OUR VEHICLE AND PROCEEDED TO WALK TO THE SIDEWALK AND TRIPPED OF PARKING BLOCK. FEL",GB,"Human Action, NOC"
457,GUEST CLAIMS THAT WHEN SHE PULLED INTO A PARKING SPOT SHE HEARD A BANG AND WHEN SHE LOOKED OVER SHE SAW THAT A CART HAD HIT HER CAR LEAVING SOME SCRATCHED ON THE PASSENGER SIDE DOORS,GD,Alleged Negligent Act
458,FUEL CONTAMINATION,AP,Other - comprehensive
459,WINDSHIELD CLAIM,AP,Vehicle - Part/Accessory
460,"THE CSP WAS EXITING A BUSINESS AND MAKING A RIGHT HAND TURN.  THE CLAIMANT WAS DRIVING RECKLESSLY, LOST CONTROL AND T-BONED THE     FEDEX VEHICLE ON THE DRIVER SIDE. THERE WERE NO INJURIES.  THE CSPVEHICLE WAS TOWED AND THE POLICE WERE PRESENT.",AD,Sideswipe or lane change
461,IV REAR ENDED OV.,AD,Struck vehicle in rear
462,OV HIT IV IN THE PASSENGER SIDE,AB,Sideswipe or lane change
463,"160089486 STEW4714 53834 411192 1281163 CODRIVER STATED THAT THE 2TRUCKS HIT SIDE MIRRORS WITH THE OTHER TRUCK RECEIVING THE MOST   DAMAGE. AS OF RIGHT NOW WE DO NOT KNOW WHO INITIATED THE CONTACT. NO INJURIES, NO TOWING, POLICE HAVE BEEN CALLED.",AD,Sideswipe or lane change
464,OV INTO IV,AP,Sideswipe or lane change
465,"IT WAS RAINING VERY HARD YESTERDAY I WAS DRIVING WITH A LOT OF    CAUTION DUE TO THE RAIN AND WIND I COULDN'T STOP THE CAR FROM     HYDROPLANING WITH WATER AND DEBRI ON THE ROAD. I COULDN'T SEE,    LOST CONTROL.  I TRIED TO CONTROL THE CAR TO THE BEST OF MY       ABILITY. HOWEVER, IT GOT DAMAGE FROM THE BOTTOM AND HAD TO TAKE ITTO THE BODY SHOP AS IT CAN MOVE.",AP,Alleged Negligent Act
466,IV COLLIDED INTO OV WHILE ATTEMPTING TO CHANGE LANES,AB,Sideswipe or lane change
467,CALLER REPORTED THAT HE TRIPPED OVER THE CAR STOP IN THE PARKING  LOT. HE FELL AND SUSTAINED A LACERATION TO HIS LEFT ELBOW AND LEFT,GB,Car stop
468,MEMBER WAS AT HIS DESK AT WORK EATING A NUT BAR AND NOTICED A HARDPIECE. MEMBER ATTEMPTED TO CHEW AND SPIT OUT A PIECE OF GLASS.,PA,Alleged foreign object in product
469,CUSTOMER FELL IN FRONT OF AISLE 6. CUSTOMER REFUSED TO GIVE ANY   INFORMATION OR AS TO WHAT HAPPENED.,GB,Water
470,IV BUS WAS REAR ENDED IN A 3 VEHICLE CHAIN REACTION.,AB,Our vehicle struck in rear
471,THERE WAS A CRACKED OBSERVED IN THE WINDSHIELD OF THE IV WHILE    PARKED AND UNOCCUPIED IN A PARKING LOT.,AP,Windshield
472,THE IV WAS PARKED AND OCCUPIED WHEN THE IV WAS SIDESWIPED BY THE  OV. NO INJURIES WERE REPORTED.,AP,Sideswipe or lane change
473,"TURNERS DRIVER LEFT THE RECEIVING DOCK AND DROVE TO THE TOP OF THEYARD RATHER THAN STOPPING AND MAKING SURE EVERYTHING WAS SECURE, 2RACKS OF POINSETTIA FELL OUT THE BACK OF THE TRAILER.",PB,Not Otherwise Classified
474,CUSTOMER CLAIMED HER MOTHER VOMITED BECAUSE OF PRODUCT,PA,Food Product
475,SP VEHICLE BACKING DOWN A DRIVEWAY AND HIT THE EAVES AND GUTTER ONTHE HOUSE.  THE DAMAGES TO THE GUTTER.,AD,Backed into vehicle or object
476,"THE IV DRIVER WAS DRIVING DOWN A HILL AND WHILE TURNING INTO AN   ALLEYWAY THE IV SLID FORWARD, STRUCK AND DAMAGED A TELEPHONE POLE.THE IV INCURRED A CAVED IN FRONT LEFT CAB AS A RESULT OF THE      INCIDENT. NO INJURIES HAVE BEEN REPORTED.",AL,Struck animal or object
477,"THE OV WAS TRYING TO MAKE A RIGHT TURN AT THE INTERSECTION OF     ALBERTONI AND MAIN ST, WHEN THE IV REAR-ENDED THE OV. THE OV      INCURRED DAMAGE TO THE REAR BUMPER. THE OV DRIVER WAS EXPERIENCINGPAIN TO THE NECK, SHOULDER, LOWER AND UPPER BACK.",AB,Struck vehicle in rear
478,"ON 12/14/2022 THERE WAS A FOUR VEHICLE CRASH ON ROUTE 495 IN      TEWKSBURY. ALL 4 VEHICLES WERE TRAVELING NORTHBOUND WHEN TRAFFIC  STARTED TO SLOW DOWN. IV WAS UNABLE TO STOP IN TIME,              RESULTING IN IT REAR ENDING VEH (NEW HORIZON) WHO PUSHED INTO     VEH NUNEZ. VEH NUNEZ THEN REAR ENDED VEH YOUNG. NUNEZ WAS         TRANSPORTED BY TEWKSBURY EMS TO SAINTS MEMORIAL IN LOWELL. NO     OTHER INJURIES REPORTED AT THIS TIME. STUART'S TOWING SECURED VEH NUNEZ FROM THE SCENE. COAD",AD,Struck vehicle in rear
479,"THE OV WAS WAITING IN THE FAR RIGHT LANE OF TRAFFIC. THE IV WAS   SPEEDING WHILE APPROACHING THE OV AND WASN'T ABLE TO STOP IN TIME AND REAR END THE OV. THE OV INCURRED DAMAGE TO THE TRUNK, BOTH    TAILLIGHTS, AND THE REAR BUMPER. THE OV DRIVER STARTED TO         EXPERIENCE PAIN IN HER NECK.",AD,Struck vehicle in rear
480,CUSTOMER MACHINE CAUGHT FIRE. SAID IT HAPPENED AFTER OUR MECHANIC WORKED ON IT. HAVE A LETTER FROM THEIR ATTORNEY.,GD,Fire - Property
481,BUS STRUCK WITH THIRD PARTY PARKED VEHICLE.                       BUS REG: DX60HRN                   TP REG:  UNKNOWN,AU,Struck parked vehicle
482,"EMPLOYEE (JESUS ZAZUETA) WAS BACKING UP, THE LOWBOY OCCUPIED BOTH SIDES OF THE LANES.  THE OTHER DRIVER RAN INTO THE LOWBOY AT A    HIGH SPEED AND REAR-ENDED THE TRAILER OF THE LOWBOY. NO INJURY",AD,Struck vehicle in rear
483,NO INJURIES FIRST STUDENT BUS SIDE SWIPED A PARKED VEHICLE,AD,Sideswipe or lane change
484,OV HIT IV,AB,Intersection accident
485,CLAIMANT SUFFER PROPERTY DAMAGE DUE TO LEAKAGE.,GD,Leak/Flood - Defective Materials
486,"SMALL PD. WHILE IV DRIVER WAS RETURNING THE CONTAINER TO THE      ENCLOSURE, IT STRUCK THE DOOR TO THE ENCLOSURE, CAUSING DAMAGE TO DOOR. NO DAMAGE TO CONTAINER OR IV. NO INJURIES.",AL,Struck dumpster enclosure
487,SMALL PD: IV DRIVER WAS SERVICING A CAN. IV DRIVER LIFTED THE BOOMUP AND STRUCK THE DOOR FRAME. IV INCURRED NO DAMAGE. THE DOOR     FRAME INCURRED DAMAGE KNOCKING SOME OF THE CYLINDER BLOCKS LOOSE. NO INJURIES REPORTED.,AL,Struck dock/garage door
488,"CUSTOMER CLAIMS THAT THE WASH LEFT SCRATCHES ON THE BACK DRIVER   SIDE PASSENGER DOOR AND ON THE DRIVER SIDE FENDER PANEL BY THE GASTANK DOOR. THERE WERE NO PREVIOUS SCRATCHES TO THE VEHICLE IN THATSECTION. THERE IS PREVIOUS DAMAGE NOT RELATED TO THE WASH, LIKE A DENT DIRECTLY ON THE FENDER ABOVE THE WHEEL.",GD,Alleged Negligent Act
489,DOMONIC SPRESSLER (FATHER) CALLED THE AMBULANCE FOR HIS SON FIN.  STATED HIS SON WAS PLAYING AND SLIP/FELL HITTING HIS HEAD.  THE IM,GB,Not Otherwise Classified
490,PD: ORLY BACKING IN PARKING LOT TO TURN AROUND AND ALLEGEDLY      STRUCK BUILDING OVERHANG.,AD,Backed into vehicle or object
491,VI BACKED INTO V2,AB,Backed into vehicle or object
492,NO INJURIES OPPOSING VEHICLE RAN OUR UNIT'S STOP SIGN CAUSING IT  TO BE DAMAGED.,AP,Sideswipe or lane change
493,THE PATIENT WAS ASSISTED TO WALK INSIDE HIS HOUSE. ONCE INSIDE THERESIDENCE A SKIN TEAR WAS NOTED.,AB,Sideswipe or lane change
494,SP WAS TURNING LEFT AT AN INTERSECTION. CLAIMANT WAS DRIVING FROM THE OPPOSITE DIRECTION OF THE SP. SP HIT THE CLAIMANT'S REAR PASSENGER SIDE. NO INJURIES. NO TOW. POLICE WERE CALLED. SP WAS CITED.,AD,Our vehicle turning left
495,"SMALL PD.WHILE IN THE PROCESS OF SERVICING, DRIVER REPORTED HIS   FORKS ON THE TRUCK MADE CONTACT WITH CORAL DOOR CAUSING DAMAGE.",AL,Struck dumpster enclosure
496,GUEST HAD FEVER/CHILLS AND HEADACHE THE DAY AFTER DINING WITH US. SHE CALLED HER DOCTOR AND HE TOLD HER OVER THE PHONE IT WAS       PROBABLY THE OYSTERS.  SHE IS GOING TO SEE HER DOCTOR TOMORROW    (2/14/2023).,PA,Alleged contamination or spoilage
497,"RENAUDE ETIENNE, UNACCOMPANIED GUEST OF MARIE ETIENNE, WENT TO USE THE TREADMILL IN THE GYM WITHOUT PRIOR PERMISSION AND CLAIMS THE",GB,"Machine, NOC"
498,EMPLOYEE WENT TO PULL UP VEHICLE AND VEHICLE WAS NOT WHERE IT WAS PARKED ON THE LOT. EMPLOYEE CHECKED CAMERAS AND SAW VEHICLE BEING STOLEN.,GK,Alleged Negligent Act
499,"DURING THE WIND STORM THE OTHER DAY WEDNESDAY FEB.15, 2023 THE    ROOF - 2 LAYERS OF THE ROOF WAS BLOWN OFF. PLEASE SEE ATTACHMENT  PLEASE ADVISE ON NEXT STEP. KIM CZEREWKO IS AWARE OF THIS LOSS.",RB,Windstorm
500,IV BACKED INTO PARKED UNOCCUPIED OV,AD,Backed into vehicle or object
501,THE OV DRIVER WAS MAKING A TURN IN A RESIDENTIAL AREA WHEN THE IV WAS STRUCK BY THE OV. THE IV P/S FRONT FENDER AND BUMPER INCURRED DAMAGE. THE OV P/S HAD A SCRAPE. THERE WERE NO INJURIES REPORTED.,AD,Struck vehicle in rear
502,COLLISION ON ROUNDABOUT,AD,Collision on a Roundabout
503,OPEN GK AND OPEN AD - 5.1.23 - EE IN CUSTOMER JOHN NEHME-HAILY'S  2020 TAYCAN WAS IN ACCIDENT WITH THIRD PARTY SHELBY ENGLUND IN HER2013 KIA,GK,Intersection accident
504,OBJECT HIT GLASS,AP,Windshield
505,"CLAIMANT ALLEGES SHE WAS PLACING AN ORDER AT THE DRIVE THRU, WHEN THE MENU BOARD FELL UNTO HER VEHICLE. THE VEHICLE D/S FRONT DOOR  WAS SCRATCHED. THERE WERE NO REPORTED INJURIES.",GD,Display
506,THE IV WAS AT AN INTERSECTION REVERSING WHEN THE IV BACKED INTO   THE OV FRONT BUMPER. THE OV INCURRED FRONT END DAMAGE. THERE WERE NO INJURIES REPORTED.,AD,Backed into vehicle or object
